NAME,NICKNAME,DIVISION,GENRE,WIN,LOSSES,DRAWS,Actif,ÂGE,LA TAILLE,POIDS,DÉBUT DE L'OCTOGONE,Title_holder,PERMANENT,CLINCH,SOL,KO/TKO,DEC,SUB,sig_str_head,sig_str_body,sig_str_leg,PRÉCISION SAISISSANTE,PRÉCISION DE TAKEDOWN,SIG. STR. A ATTERRI,SIG. FRAPPES ENCAISSÉES,TAKEDOWN AVG,ENVOI AVG,SIG. STR.DÉFENSE,DÉFENSE DE DÉMOLITION,KNOCKDOWN AVG,TEMPS DE COMBAT MOYEN,img_cbt,STYLE DE COMBAT,REACH,PORTÉE DE LA JAMBE,Style de combat,DOB
MELINDA FÁBIÁN,,Women's Flyweight Division,Female,4.0,4.0,2.0,False,35.0,66.0,125.0,"DEC. 1, 2017",False,98.0,23.0,0.0,0.0,0.0,4.0,73.0,23.0,25.0,0.42,0.0,4.03,4.0,0.0,0.0,0.63,1.0,0.5,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69620/profile-galery/fullbodyleft-picture/Melinda-Fabian_644631_LeftFullBodyImage.png?itok=fcmD-fMw,,66.0,37.0,Orthodox,"Jun 25, 1987"
WAGNNEY FABIANO,,Featherweight Division,Male,16.0,4.0,0.0,False,47.0,67.0,145.0,"DEC. 20, 2024",False,,,,0.0,3.0,1.0,,,,0.38,0.64,1.19,0.66,3.44,0.4,0.7,1.0,,,NO,,69.0,,Southpaw,"Jul 14, 1975"
BARTOSZ FABINSKI,"""THE BUTCHER""",Middleweight Division,Male,15.0,5.0,0.0,False,37.0,72.0,184.5,"APR. 11, 2015",False,30.0,50.0,33.0,8.0,7.0,0.0,68.0,34.0,11.0,0.68,0.71,2.23,1.46,7.1,0.0,0.51,0.8,0.0,507.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-04/67439%252Fprofile-galery%252Ffullbodyleft-picture%252FFABINSKI_BARTOSZ_L_04-17.png?itok=7QAIyFSY,JUDO,75.0,41.0,Orthodox,"Apr 26, 1986"
RON FAIRCLOTH,,Light Heavyweight Division,Male,33.0,20.0,0.0,False,43.0,69.0,205.0,"OCT. 7, 2005",False,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,0.0,0.39,8.9,0.0,0.0,0.43,0.0,0.0,310.0,NO,,,,Orthodox,"Aug 16, 1979"
JASON FAIRN,,,Male,4.0,5.0,0.0,False,,73.0,230.0,"DEC. 16, 1994",False,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,,
ZARAH FAIRN,"""INFINITE""",Women's Bantamweight Division,Female,6.0,6.0,0.0,True,39.0,68.0,146.0,"OCT. 5, 2019",False,160.0,11.0,0.0,4.0,2.0,0.0,128.0,26.0,17.0,0.31,0.0,4.55,7.4,0.0,0.0,0.46,0.6,0.0,564.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/FAIRN_ZARAH_L%296_23.png?itok=tLRJDIOP,MMA,72.0,42.0,Orthodox,"Dec 10, 1983"
RINAT FAKHRETDINOV,"""GLADIATOR""",Welterweight Division,Male,23.0,1.0,1.0,True,33.0,72.0,171.0,"JUN. 4, 2022",False,239.0,59.0,65.0,11.0,6.0,6.0,256.0,50.0,57.0,0.53,0.34,4.78,3.58,3.95,0.2,0.54,0.92,0.59,759.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/FAKHRETDINOV_RINAT_L_10-26.png?itok=QjPwRMwr,,74.0,42.0,Orthodox,"Sep 28, 1991"
MAIQUEL FALCAO,"""BIG RIG""",Middleweight Division,Male,37.0,10.0,0.0,False,42.0,71.0,185.0,"NOV. 21, 2010",False,,,,0.0,1.0,0.0,,,,0.55,1.0,1.67,0.53,1.0,3.0,0.86,0.71,,,NO,,,,Orthodox,"Mar 08, 1981"
PEDRO FALCAO,"""PEDRINHO""",Bantamweight Division,Male,16.0,4.0,0.0,True,31.0,66.0,136.0,"APR. 6, 2024",False,55.0,10.0,19.0,6.0,5.0,5.0,53.0,19.0,12.0,0.48,0.22,2.9,2.63,2.07,0.0,0.48,0.83,0.0,868.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/FALCAO_PEDRO_L_04-06.png?itok=yeUDLj-E,MMA,66.0,38.0,Orthodox,"Jul 30, 1992"
BRODIE FARBER,,Welterweight Division,Male,16.0,7.0,0.0,False,42.0,73.0,174.0,"JUL. 19, 2008",False,20.0,7.0,1.0,0.0,0.0,0.0,18.0,6.0,4.0,0.46,0.5,1.69,2.17,0.9,0.9,0.53,0.2,0.0,499.0,NO,,,,Orthodox,"Jul 05, 1980"
KALINDRA FARIA,,Women's Flyweight Division,Female,18.0,8.0,1.0,False,36.0,67.0,125.0,"OCT. 7, 2017",False,20.0,8.0,23.0,7.0,6.0,5.0,38.0,9.0,4.0,0.56,0.67,2.23,1.44,1.31,0.7,0.45,0.2,0.0,457.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68438/profile-galery/fullbodyleft-picture/Kalindra-Faria_640579_LeftFullBodyImage.png?itok=gR0CyOBm,,63.0,38.0,Switch,"Jul 23, 1986"
RICO FARRINGTON,,Welterweight Division,Male,7.0,3.0,0.0,True,34.0,76.0,171.0,"DEC. 20, 2024",False,95.0,0.0,0.0,0.0,0.0,0.0,79.0,12.0,4.0,0.42,0.0,6.33,7.2,0.0,0.0,0.52,0.2,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/7b1b1217-011e-4924-92b8-eceebc2b5a35%252FFARRINGTON_RICO_R.png?itok=V_SQHYpQ,,79.0,,Southpaw,"Jun 19, 1989"
KELLY FASZHOLZ,,Women's Bantamweight Division,Female,4.0,2.0,0.0,False,39.0,68.0,135.0,"FEB. 22, 2016",False,97.0,20.0,3.0,0.0,0.0,3.0,76.0,35.0,9.0,0.48,0.0,4.01,3.61,0.0,0.0,0.53,0.44,0.0,898.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-03/Kelly-Faszholz_580619_LeftFullBodyImage.png?VersionId=yJhh0jhtAuWxnVLDLXe1CxAvhC3utE86&itok=avvYCImV,,67.0,40.0,Orthodox,"Apr 09, 1985"
PAUL FELDER,"""THE IRISH DRAGON""",Lightweight Division,Male,17.0,6.0,0.0,False,39.0,71.0,155.8,"OCT. 4, 2014",False,557.0,110.0,96.0,10.0,6.0,1.0,449.0,149.0,165.0,0.45,0.29,3.7,3.44,0.29,0.22,0.49,0.65,0.22,825.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-11/68984%252Fprofile-galery%252Ffullbodyleft-picture%252FFELDER_PAUL_L_11-14.png?itok=GFdIdDuN,,70.5,40.0,Orthodox,"Apr 25, 1984"
CARLOS FELIPE,"""BOI""",Heavyweight Division,Male,11.0,2.0,0.0,False,28.0,72.0,259.0,"MAY. 9, 2020",False,319.0,40.0,7.0,6.0,5.0,0.0,232.0,110.0,24.0,0.46,0.0,4.88,5.6,0.0,0.0,0.51,0.73,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-06/67562%252Fprofile-galery%252Ffullbodyleft-picture%252FFELIPE_CARLOS_L_06-12.png?itok=YDb81yMq,STRIKER,75.0,41.0,Orthodox,"Jan 12, 1995"
JOSH FERGUSON,"""TAZ""",Flyweight Division,Male,10.0,5.0,0.0,False,35.0,65.0,125.0,"DEC. 4, 2011",False,42.0,7.0,5.0,0.0,0.0,0.0,37.0,14.0,3.0,0.44,0.11,2.13,4.18,0.59,0.0,0.32,0.55,0.0,761.0,NO,,,,Orthodox,"May 13, 1988"
TONY FERGUSON,"""EL CUCUY""",Welterweight Division,Male,26.0,11.0,0.0,True,40.0,71.0,179.0,"JUN. 5, 2011",False,1210.0,31.0,91.0,13.0,5.0,8.0,800.0,259.0,273.0,0.46,0.35,4.91,4.37,0.39,0.9,0.55,0.66,0.17,679.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/FERGUSON_TONY_L_08-03.png?itok=fUZVHpYl,FREESTYLE,76.5,40.5,Orthodox,"Feb 12, 1984"
CJ FERNANDES,,Welterweight Division,Male,14.0,8.0,3.0,False,45.0,74.0,170.0,"SEP. 22, 2000",False,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,,"Nov 13, 1977"
GABRIELLA FERNANDES,"""GABI""",Women's Flyweight Division,Female,20.0,3.0,0.0,True,31.0,67.0,139.0,"FEB. 25, 2023",False,160.0,26.0,0.0,3.0,5.0,3.0,123.0,36.0,27.0,0.47,0.53,3.46,5.5,3.97,0.6,0.72,0.77,0.28,807.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-02/FERNANDES_GABRIELLA_L_02-25.png?itok=rBihdaE1,STRIKER,66.0,37.5,Orthodox,"Mar 30, 1980"
KAUÊ FERNANDES,,Lightweight Division,Male,9.0,2.0,0.0,True,29.0,69.0,165.0,"NOV. 4, 2023",False,3.0,0.0,1.0,6.0,2.0,5.0,2.0,1.0,1.0,0.57,1.0,3.04,5.7,0.76,0.0,0.66,0.62,0.0,290.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-11/FERNANDES_KAUE_L_11-04.png?itok=PR5KHGc5,FREESTYLE,73.0,40.0,Orthodox,"Mar 17, 1995"
LUCAS FERNANDO,,Middleweight Division,Male,9.0,2.0,0.0,True,26.0,75.0,185.0,"DEC. 20, 2024",False,26.0,2.0,0.0,0.0,0.0,0.0,16.0,6.0,6.0,0.52,0.3,1.87,4.73,3.0,1.0,0.39,0.0,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-08/FERNANDO_LUCAS_R.png?itok=o81wkEgq,,80.0,41.5,,"Jan 10, 1997"
ERISSON FERREIRA,,Flyweight Division,Male,12.0,2.0,0.0,True,32.0,66.0,125.5,"DEC. 20, 2024",False,31.0,8.0,8.0,0.0,1.0,0.0,30.0,11.0,6.0,0.32,1.0,1.75,2.75,1.11,1.7,0.56,0.67,0.0,808.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-08/FERREIRA_ERISSON_L.png?itok=hqU0evWr,,70.0,38.5,Orthodox,"May 03, 1991"
BRUNNO FERREIRA,"""THE HULK""",Middleweight Division,Male,12.0,2.0,0.0,True,31.0,70.0,185.5,"JAN. 21, 2023",False,94.0,8.0,11.0,9.0,0.0,3.0,80.0,20.0,13.0,0.5,0.17,3.76,3.12,0.5,0.5,0.52,0.54,1.99,301.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/4/FERREIRA_BRUNNO_L_06-08.png?itok=c5PcPy8u,GRAPPLER,72.0,39.0,Orthodox,"Nov 04, 1992"
DIEGO FERREIRA,,Lightweight Division,Male,19.0,5.0,0.0,False,38.0,69.0,155.0,"JUN. 28, 2014",False,548.0,44.0,120.0,5.0,7.0,7.0,509.0,152.0,51.0,0.4,0.3,5.04,3.43,0.96,0.64,0.57,0.6,0.32,565.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-05/FERREIRA_DIEGO_L_05-20.png?itok=R3ZGfRab,MMA,74.0,40.5,Orthodox,"Jan 18, 1985"
CEZAR FERREIRA,"""MUTANTE""",Middleweight Division,Male,14.0,8.0,0.0,False,38.0,73.0,185.5,"JUN. 24, 2012",False,,,,0.0,6.0,3.0,,,,0.42,0.53,1.9,2.44,2.69,0.5,0.53,0.84,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Cezar_Ferreira/FERREIRA_CEZAR_L.png?itok=b3HlMBEe,AMM,78.5,43.0,Southpaw,"Feb 15, 1985"
ALEXANDRE FERREIRA,"""CACARECO""",Light Heavyweight Division,Male,19.0,7.0,0.0,False,44.0,69.0,204.0,"NOV. 13, 2010",False,,,,5.0,3.0,2.0,,,,0.39,0.3,5.04,3.43,0.96,0.6,0.56,0.6,,,NO,,74.0,,Orthodox,"Jan 18, 1985"
SCOTT FERROZZO,,Heavyweight Division,Male,4.0,2.0,0.0,False,58.0,71.0,323.0,"FEB. 16, 1996",False,,,,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,Orthodox,"Apr 26, 1965"
TIMO FEUCHT,,Light Heavyweight Division,Male,8.0,1.0,0.0,False,27.0,75.0,205.0,"DEC. 20, 2024",False,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,79.0,,Orthodox,"Jan 18, 1996"
ANDRE FIALHO,,Welterweight Division,Male,16.0,8.0,0.0,True,29.0,72.0,170.0,"JAN. 15, 2022",False,165.0,32.0,5.0,13.0,2.0,1.0,140.0,39.0,23.0,0.42,1.0,3.3,6.26,0.25,0.0,0.46,0.67,0.49,524.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-05/FIALHO_ANDRE_L_05-20.png?itok=lBwdudlA,BOXER,74.0,41.0,Orthodox,"Apr 07, 1994"
DREW FICKETT,"""THE MASTER""",Welterweight Division,Male,42.0,21.0,0.0,False,,70.0,171.0,"FEB. 5, 2005",False,57.0,50.0,48.0,0.0,1.0,4.0,74.0,54.0,27.0,0.42,0.38,2.45,2.5,1.42,2.2,0.57,0.31,0.24,541.0,NO,,70.0,,Orthodox,"Dec 14, 1979"
SCOTT FIELDER,,,Male,6.0,2.0,0.0,False,,74.0,205.0,"JUL. 12, 1996",False,,,,1.0,0.0,0.0,,,,0.21,0.0,2.91,4.24,0.0,0.0,0.49,0.0,,,NO,,,,,"Oct 15, 1978"
MICHAL FIGLAK,"""MAD DOG """,Lightweight Division,Male,8.0,2.0,0.0,True,27.0,70.0,165.0,"SEP. 3, 2022",False,113.0,4.0,3.0,4.0,4.0,0.0,73.0,25.0,22.0,0.39,0.13,4.0,4.93,0.5,0.0,0.53,0.57,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-09/FIGLAK_MICHAL_L_09-03.png?itok=MCF-tGUY,MMA,70.0,39.0,Orthodox,"Aug 15, 1996"
FRANCISCO FIGUEIREDO,"""SNIPER""",Flyweight Division,Male,13.0,5.0,1.0,False,33.0,66.0,125.5,"JAN. 20, 2021",False,54.0,8.0,11.0,3.0,2.0,8.0,29.0,19.0,25.0,0.62,0.75,2.04,2.59,2.51,0.42,0.62,0.76,0.0,538.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-07/71736%252Fprofile-galery%252Ffullbodyleft-picture%252FFIGUEIREDO_FRANCISCO_L_07-17.png?itok=6TVFYhFx,JIU-JITSU,68.0,39.0,Southpaw,"Oct 23, 1989"
DEIVESON FIGUEIREDO,"""DEUS DA GUERRA""",Bantamweight Division,Male,24.0,4.0,1.0,True,37.0,65.0,135.0,"JUN. 3, 2017",False,502.0,49.0,121.0,9.0,6.0,9.0,417.0,184.0,71.0,0.54,0.35,2.91,3.55,1.62,1.43,0.5,0.6,0.78,770.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/FIGUEIREDO_DEIVESON_L_04-13.png?itok=19uAz6gK,BOXING,68.0,38.0,Orthodox,"Dec 18, 1987"
EDWIN FIGUEROA,"""EL FEROZ""",Bantamweight Division,Male,9.0,5.0,0.0,False,38.0,67.0,135.0,"MAR. 27, 2011",False,,,,1.0,1.0,0.0,,,,0.39,1.0,2.57,3.06,0.2,0.6,0.51,0.37,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/72589f27-c401-4d68-a377-b6f9918afa69%252Fedwin-figueroa_128559_LeftFullBodyImage.png?itok=xaEWo8US,,69.0,,Orthodox,"Jul 31, 1984"
JAFEL FILHO,"""PASTOR""",Flyweight Division,Male,16.0,3.0,0.0,True,31.0,67.0,125.0,"MAR. 18, 2023",False,52.0,1.0,27.0,5.0,1.0,10.0,48.0,17.0,15.0,0.41,0.33,2.36,2.0,1.77,2.65,0.47,0.56,0.44,509.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-03/FILHO_JAFEL_L_03-16.png?itok=7ioPVMfN,GRAPPLER,68.5,36.5,Orthodox,"May 05, 1993"
ANDRE FILI,"""TOUCHY""",Featherweight Division,Male,24.0,11.0,0.0,True,34.0,71.0,157.0,"OCT. 20, 2013",False,812.0,58.0,78.0,10.0,10.0,3.0,686.0,140.0,122.0,0.38,0.44,3.88,4.11,2.15,0.25,0.51,0.7,0.37,637.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-06/FILI_ANDRE_L_02-10.png?itok=QFJ5R-KD,MMA,74.0,40.0,Orthodox,"Jun 25, 1990"
LUIGI FIORAVANTI,,Welterweight Division,Male,26.0,15.0,0.0,False,42.0,68.0,171.0,"APR. 6, 2006",False,,,,2.0,2.0,0.0,,,,0.42,0.63,2.23,2.21,3.76,0.9,0.69,0.67,,,NO,,70.0,,Orthodox,"Jan 22, 1981"
NICK FIORE,,Lightweight Division,Male,6.0,2.0,0.0,False,25.0,70.0,155.0,"JAN. 14, 2023",False,62.0,16.0,7.0,2.0,0.0,4.0,74.0,8.0,3.0,0.46,0.45,2.83,7.93,2.5,0.0,0.43,0.71,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-01/FIORE_NICK_L_01-14.png?itok=mZmLS7X1,BRAZILIAN JIU-JITSU,72.0,40.0,Orthodox,"Dec 10, 1997"
MANON FIOROT,"""THE BEAST""",Women's Flyweight Division,Female,12.0,1.0,0.0,True,34.0,67.0,125.0,"JAN. 20, 2021",False,514.0,50.0,39.0,6.0,5.0,3.0,220.0,198.0,185.0,0.53,0.42,6.26,3.77,1.23,0.56,0.68,0.93,0.0,897.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/FIOROT_MANON_L_3-30.png?itok=wIblg6Wz,KARATE,65.0,38.0,Orthodox,"Feb 17, 1990"
SPENCER FISHER,"""THE KING""",Lightweight Division,Male,25.0,9.0,0.0,False,47.0,67.0,156.0,"OCT. 3, 2005",False,,,,3.0,4.0,2.0,,,,0.43,0.3,3.17,3.03,0.67,0.8,0.64,0.6,,,NO,,68.0,,Southpaw,"May 09, 1976"
CHRIS FISHGOLD,,Featherweight Division,Male,18.0,4.0,1.0,False,31.0,68.0,149.0,"OCT. 28, 2018",False,59.0,9.0,2.0,2.0,3.0,13.0,44.0,10.0,16.0,0.32,0.46,2.01,2.7,2.59,1.3,0.47,0.44,0.0,522.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67618/profile-galery/fullbodyleft-picture/FISHGOLD_CHRIS_L.png?VersionId=QvIorJ7tSxm6HODq0rialYwAFL3bfzxs&itok=bwrSoXf_,JIU-JITSU,68.0,38.0,Orthodox,"Jun 06, 1992"
JON FITCH,,Welterweight Division,Male,30.0,7.0,1.0,False,45.0,72.0,171.0,"OCT. 3, 2005",False,,,,1.0,11.0,3.0,,,,0.5,0.51,2.61,1.65,3.6,0.8,0.54,0.56,,,NO,,74.0,,Orthodox,"Feb 24, 1978"
ISI FITIKEFU,,Light Heavyweight Division,Male,6.0,0.0,0.0,False,30.0,70.0,205.0,"DEC. 20, 2024",False,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,,
RAFAEL FIZIEV,"""ATAMAN""",Lightweight Division,Male,12.0,3.0,0.0,True,31.0,68.0,156.0,"APR. 20, 2019",False,461.0,50.0,4.0,8.0,3.0,1.0,232.0,191.0,92.0,0.52,0.4,4.9,4.97,0.29,0.0,0.49,0.89,0.29,701.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/FIZIEV_RAFAEL_L_09-23.png?itok=1YumpCpy,MUAY THAI,71.5,40.0,Switch,"Mar 05, 1993"
COLIN FLETCHER,"""THE FREAKSHOW""",Lightweight Division,Male,14.0,8.0,0.0,False,40.0,74.0,155.0,"DEC. 16, 2012",False,86.0,5.0,2.0,0.0,0.0,0.0,32.0,20.0,41.0,0.35,0.0,3.1,2.97,0.0,0.0,0.62,0.27,0.0,900.0,NO,,,,Orthodox,"Jan 08, 1983"
NATHAN FLETCHER,,Featherweight Division,Male,10.0,3.0,0.0,True,26.0,70.0,170.0,"AUG. 24, 2024",False,6.0,0.0,8.0,1.0,1.0,7.0,13.0,0.0,1.0,0.7,0.67,3.36,4.61,9.63,2.41,0.46,0.33,0.0,374.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/FLETCHER_NATHAN_L_08-24.png?itok=D8uMbxqj,MMA,70.0,,Switch,"Feb 18, 1997"
AJ FLETCHER,"""THE GHOST""",Welterweight Division,Male,10.0,3.0,0.0,True,26.0,70.0,183.0,"MAR. 12, 2022",False,138.0,12.0,13.0,4.0,1.0,4.0,113.0,18.0,32.0,0.5,0.36,3.36,4.61,1.54,0.93,0.47,0.33,0.31,583.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/cd405587-3f1f-404f-bce9-1d2713b05a6d%252FFLETCHER_AJ_L_03-12.png?itok=0mUNTgR2,STRIKER,67.0,37.0,Switch,"Feb 18, 1997"
JIMMY FLICK,"""THE BRICK""",Flyweight Division,Male,17.0,8.0,0.0,False,33.0,67.0,137.0,"DEC. 5, 2020",False,78.0,9.0,7.0,0.0,2.0,15.0,33.0,36.0,25.0,0.5,0.22,1.94,5.43,1.55,4.34,0.43,0.0,0.0,484.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/FLICK_JIMMY_L_06-17.png?itok=YCqMPSdF,JIU-JITSU,68.0,37.0,Orthodox,"Sep 07, 1990"
TY FLORES,,Light Heavyweight Division,Male,7.0,3.0,0.0,True,29.0,75.0,205.0,"DEC. 20, 2024",False,19.0,11.0,0.0,0.0,0.0,0.0,11.0,11.0,8.0,0.38,0.09,2.0,7.8,1.0,0.0,0.25,0.0,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/f46e66ce-017c-40cb-a9eb-cbc2ec679d57%252FFLORES_TY_L_08-04.png?itok=QZm3PcRm,,73.0,,Switch,"Dec 22, 1993"
ALEJANDRO FLORES,,Featherweight Division,Male,9.0,2.0,0.0,False,31.0,72.0,155.0,"DEC. 20, 2024",False,28.0,1.0,0.0,0.0,0.0,0.0,6.0,10.0,13.0,0.44,0.0,3.66,2.02,0.0,1.2,0.6,0.4,0.0,475.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/804fd857-e083-404d-b170-b8e378a92043%252FFLORES_ALEJANDRO_R.png?itok=c1gyM-G3,,73.0,,Southpaw,"Mar 17, 1988"
LUKE FLORES,,Lightweight Division,Male,9.0,2.0,0.0,False,35.0,72.0,155.5,"AUG. 29, 2017",False,18.0,2.0,0.0,3.0,1.0,3.0,6.0,6.0,8.0,0.44,0.0,1.56,1.88,0.0,1.2,0.61,0.4,0.0,303.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/ae3b519b-7cbf-451c-9e3f-6ea32ecd8845%252FLuke-Flores_636464_LeftFullBodyImage.png?itok=bHnVacKp,,73.0,,Southpaw,"Mar 17, 1988"
KENNY FLORIAN,"""KENFLO""",Featherweight Division,Male,16.0,6.0,0.0,False,47.0,70.0,145.0,"APR. 9, 2005",False,,,,3.0,2.0,8.0,,,,0.4,0.33,2.41,1.85,2.22,1.3,0.63,0.6,,,NO,,74.0,,Southpaw,"May 26, 1976"
DARRIUS FLOWERS,"""BEASTMODE""",Welterweight Division,Male,12.0,8.0,1.0,True,29.0,69.0,170.0,"JUL. 29, 2023",False,81.0,9.0,4.0,9.0,3.0,1.0,43.0,21.0,30.0,0.5,0.29,3.07,5.49,0.98,0.0,0.44,0.64,0.0,459.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-02/FLOWERS_DARRIUS_L_07-29.png?itok=MVVq0WE6,,71.0,39.0,Orthodox,"Aug 25, 1994"
CAROS FODOR,"""THE FUTURE""",Lightweight Division,Male,11.0,6.0,0.0,False,39.0,69.0,155.0,"MAR. 4, 2012",False,32.0,15.0,0.0,2.0,2.0,1.0,24.0,12.0,11.0,0.54,0.25,3.13,5.4,3.0,0.0,0.54,0.5,0.0,900.0,NO,,76.0,,Orthodox,"Jan 07, 1984"
ROB FONT,,Bantamweight Division,Male,21.0,8.0,0.0,True,37.0,68.0,135.5,"JUL. 5, 2014",False,1122.0,83.0,62.0,9.0,8.0,4.0,949.0,226.0,92.0,0.46,0.34,5.44,3.58,0.84,0.32,0.57,0.44,0.45,777.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/15/FONT_ROB_L_10-19.png?itok=2mzqwB_E,STRIKER,71.5,38.5,Orthodox,"Jun 25, 1987"
JESSE FORBES,,Middleweight Division,Male,15.0,6.0,0.0,False,38.0,74.0,186.0,"JUN. 24, 2006",False,,,,0.0,0.0,0.0,,,,0.24,0.75,2.11,4.06,1.79,1.2,0.53,0.66,,,NO,,75.0,,Southpaw,"Oct 24, 1984"
JUSSIER FORMIGA,,Flyweight Division,Male,23.0,8.0,0.0,False,38.0,65.0,126.0,"OCT. 6, 2012",False,184.0,30.0,43.0,0.0,13.0,10.0,189.0,40.0,28.0,0.4,0.35,1.42,2.34,1.82,0.6,0.64,0.87,0.17,678.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2019-03/FORMIGA_JUSSIER_L.png?VersionId=mPmsfjA9.2w713_2fZLONSzORpKka0nQ&itok=6o_GQA4m,JIU-JITSU,67.0,37.0,Orthodox,"Apr 14, 1985"
BRIANNA FORTINO,"""THE BULL""",Women's Strawweight Division,Female,9.0,3.0,0.0,False,31.0,60.0,115.0,"JUL. 13, 2019",False,69.0,33.0,4.0,2.0,3.0,3.0,57.0,36.0,13.0,0.42,0.45,3.53,3.23,2.5,0.0,0.57,0.67,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2019-07/VAN_BUREN_BRIANNA_R.png?VersionId=pB3EjGF7cQB5tWxgyhwK5gP7vJQAlLME&itok=ynHGYlzF,MMA,62.0,34.5,Southpaw,"Aug 04, 1993"
MARCEL FORTUNA,"""MAOZINHA""",Light Heavyweight Division,Male,9.0,3.0,0.0,False,37.0,73.0,205.5,"FEB. 5, 2017",False,116.0,11.0,0.0,1.0,3.0,5.0,88.0,26.0,13.0,0.47,0.08,3.83,4.52,0.45,0.5,0.65,0.75,0.45,663.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/5d10dbe7-5a5d-47ee-862c-e5cc9c5e9270%252FMarcel-Fortuna_618557_LeftFullBodyImage.png?itok=WPqQr-PH,,74.0,42.0,Orthodox,"Oct 22, 1985"
BRIAN FOSTER,,Welterweight Division,Male,27.0,10.0,0.0,False,39.0,70.0,170.0,"SEP. 19, 2009",False,,,,2.0,0.0,1.0,,,,0.39,0.6,3.3,1.63,3.67,1.8,0.65,0.37,,,NO,,73.0,,Orthodox,"Apr 03, 1984"
XAVIER FOUPA-POKAM,"""THE PROFESSOR X""",Middleweight Division,Male,32.0,22.0,0.0,False,40.0,73.0,186.0,"APR. 18, 2009",False,,,,0.0,0.0,0.0,,,,0.43,0.0,1.47,2.5,0.0,0.0,0.49,0.16,,,NO,,,,Open Stance,"Jul 03, 1982"
GLAICO FRANCA,"""NEGO""",Lightweight Division,Male,18.0,6.0,3.0,False,32.0,72.0,156.0,"AUG. 1, 2015",False,66.0,32.0,7.0,6.0,1.0,7.0,68.0,16.0,21.0,0.43,0.42,2.35,4.18,2.68,0.34,0.57,0.77,0.0,895.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/4416d6c3-1a0a-4e42-880b-4d1c23c31539%252Fglaico-franca_539504_LeftFullBodyImage.png?itok=qEMZbvVz,,77.0,43.0,Orthodox,"Jan 15, 1978"
