combattant_1,combattant_2,resultat,methode
Neil Magny,Shavkat Rakhmonov,1,SUB
Josh Parisian,Alan Baudot,0,KO/TKO
Christos Giagos,Thiago Moises,1,SUB
Umar Nurmagomedov,Nate Maness,0,DEC
Rodolfo Vieira,Chris Curtis,1,DEC
Carlos Ulberg,Tafon Nchukwi,0,KO/TKO
TJ Brown,Shayilan Nuerdanbieke,1,DEC
Sergey Morozov,Raulian Paiva,0,DEC
JP Buys,Cody Durden,1,KO/TKO
Mario Bautista,Brian Kelleher,0,SUB
Jinh Yu Frey,Vanessa Demopoulos,1,DEC
Josh Emmett,Calvin Kattar,0,DEC
Tim Means,Kevin Holland,1,SUB
Joaquin Buckley,Albert Duraev,0,KO/TKO
Guram Kutateladze,Damir Ismagulov,1,DEC
Gregory Rodrigues,Julian Marquez,0,KO/TKO
Tony Kelley,Adrian Yanez,1,KO/TKO
Natalia Silva,Jasmine Jasudavicius,0,DEC
Court McGee,Jeremiah Wells,1,KO/TKO
Ricardo Ramos,Danny Chavez,0,KO/TKO
Gloria de Paula,Maria Oliveira,1,DEC
Cody Stamann,Eddie Wineland,0,KO/TKO
Deron Winn,Phil Hawes,1,KO/TKO
Roman Dolidze,Kyle Daukaus,0,KO/TKO
Jiri Prochazka,Glover Teixeira,0,SUB
Taila Santos,Valentina Shevchenko,1,DEC
Zhang Weili,Joanna Jedrzejczyk,0,KO/TKO
Andre Fialho,Jake Matthews,1,KO/TKO
Jack Della Maddalena,Ramazan Emeev,0,KO/TKO
SeungWoo Choi,Josh Culibao,1,DEC
Maheshate,Steve Garcia,0,KO/TKO
Jacob Malkoun,Brendan Allen,1,DEC
Kyung Ho Kang,Batgerel Danaa,0,DEC
Liang Na,Silvana Gomez Juarez,1,KO/TKO
Joselyne Edwards,Ramona Pascual,0,DEC
Alexander Volkov,Jairzinho Rozenstruik,0,KO/TKO
Dan Ige,Movsar Evloev,1,DEC
Lucas Almeida,Michael Trizano,0,KO/TKO
Poliana Botelho,Karine Silva,1,SUB
Ode Osbourne,Zarrukh Adashev,0,KO/TKO
Askar Mozharov,Alonzo Menifield,1,KO/TKO
Karolina Kowalkiewicz,Felice Herrig,0,SUB
Alex Da Silva,Joe Solecki,1,M-DEC
Damon Jackson,Dan Argueta,0,DEC
Niklas Stolze,Benoit Saint Denis,1,SUB
Tony Gravely,Johnny Munoz,0,KO/TKO
Zhalgas Zhumagulov,Jeff Molina,1,DEC
Rinat Fakhretdinov,Andreas Michailidis,0,DEC
JJ Aldrich,Erin Blanchfield,1,SUB
Ketlen Vieira,Holly Holm,0,DEC
Santiago Ponzinibbio,Michel Pereira,1,DEC
Chidi Njokuani,Dusko Todorovic,0,KO/TKO
Polyana Viana,Tabatha Ricci,1,DEC
JunYong Park,Eryk Anders,0,DEC
Alen Amedovski,Joseph Holmes,1,SUB
Jailton Almeida,Parker Porter,0,SUB
Omar Morales,Uros Medic,1,KO/TKO
Jonathan Martinez,Vince Morales,0,DEC
Felipe Colares,Chase Hooper,1,KO/TKO
Sam Hughes,Elise Reed,0,KO/TKO
Jan Blachowicz,Aleksandar Rakic,0,KO/TKO
Ion Cutelaba,Ryan Spann,1,SUB
Davey Grant,Louis Smolka,0,KO/TKO
Amanda Ribas,Katlyn Cerminara,1,DEC
Manuel Torres,Frank Camacho,0,KO/TKO
Jake Hadley,Allan Nascimento,1,DEC
Viviane Araujo,Andrea Lee,0,DEC
Alan Patrick,Michael Johnson,1,KO/TKO
Virna Jandiroba,Angela Hill,0,DEC
Carlos Candelario,Tatsuro Taira,1,DEC
Andre Petroski,Nick Maximov,0,SUB
Charles Oliveira,Justin Gaethje,0,SUB
Rose Namajunas,Carla Esparza,1,DEC
Michael Chandler,Tony Ferguson,0,KO/TKO
Mauricio Rua,Ovince Saint Preux,1,DEC
Randy Brown,Khaos Williams,0,DEC
Danny Roberts,Francisco Trinaldo,1,DEC
Macy Chiasson,Norma Dumont,0,DEC
Matt Schnell,Brandon Royval,1,SUB
Blagoy Ivanov,Marcos Rogerio de Lima,0,DEC
Cameron VanCamp,Andre Fialho,1,KO/TKO
Tracy Cortez,Melissa Gatto,0,DEC
Kleydson Rodrigues,CJ Vergara,1,DEC
Loopy Godinez,Ariane Carnelossi,0,DEC
Fernie Garcia,Journey Newson,1,DEC
Marlon Vera,Rob Font,0,DEC
Jake Collier,Andrei Arlovski,1,DEC
Joanderson Brito,Andre Fili,0,KO/TKO
Jared Gordon,Grant Dawson,1,SUB
Darren Elkins,Tristan Connelly,0,DEC
Gerald Meerschaert,Krzysztof Jotko,1,DEC
Alexandr Romanov,Chase Sherman,0,SUB
Daniel Lacerda,Francisco Figueiredo,1,SUB
Gabe Green,Yohan Lainesse,0,KO/TKO
Mike Breeden,Natan Levy,1,DEC
Shanna Young,Gina Mazany,0,KO/TKO
Jessica Andrade,Amanda Lemos,0,SUB
Clay Guida,Claudio Puelles,1,SUB
Maycee Barber,Montana De La Rosa,0,DEC
Lando Vannata,Charles Jourdain,1,SUB
Marc-Andre Barriault,Jordan Wright,0,SUB
Dwight Grant,Sergey Khandozhko,1,KO/TKO
Tyson Pedro,Ike Villanueva,0,KO/TKO
Cameron Else,Aoriqileng,1,KO/TKO
Preston Parsons,Evan Elder,0,DEC
Marcin Prachnio,Philipe Lins,1,DEC
Mike Jackson,Dean Barry,0,DQ
Belal Muhammad,Vicente Luque,0,DEC
Gadzhi Omargadzhiev,Caio Borralho,1,DEC
Andre Fialho,Miguel Baeza,0,KO/TKO
Wu Yanan,Mayra Bueno Silva,1,DEC
Pat Sabatini,TJ Laramie,0,DEC
Ange Loosa,Mounir Lazzez,1,DEC
Devin Clark,William Knight,0,KO/TKO
Lina Lansberg,Pannie Kianzad,1,DEC
Drakkar Klose,Brandon Jenkins,0,KO/TKO
Jesse Ronson,Rafa Garcia,1,SUB
Martin Buday,Chris Barnett,0,DEC
Trey Ogden,Jordan Leavitt,1,DEC
Sam Hughes,Istela Nunes,0,M-DEC
Kevin Croom,Alatengheili,1,KO/TKO
Alexander Volkanovski,Chan Sung Jung,0,KO/TKO
Petr Yan,Aljamain Sterling,1,DEC
Khamzat Chimaev,Gilbert Burns,0,DEC
Tecia Pennington,Mackenzie Dern,1,DEC
Mark Madsen,Vinc Pichel,0,DEC
Darian Weeks,Ian Machado Garry,1,DEC
Anthony Hernandez,Josh Fremd,0,DEC
Aspen Ladd,Raquel Pennington,1,DEC
Mike Malott,Mickey Gall,0,KO/TKO
Jared Vanderaa,Aleksei Oleinik,1,SUB
Piera Rodriguez,Kay Hansen,0,DEC
Daniel Santos,Julio Arce,1,DEC
Curtis Blaydes,Chris Daukaus,0,KO/TKO
Joanne Wood,Alexa Grasso,1,SUB
Bryan Barberena,Matt Brown,0,DEC
Askar Askarov,Kai Kara-France,1,DEC
Neil Magny,Max Griffin,0,DEC
Viacheslav Borshchev,Marc Diakiese,1,DEC
Sara McMann,Karol Rosa,0,DEC
Batgerel Danaa,Chris Gutierrez,1,KO/TKO
Aliaskhab Khizriev,Denis Tiuliulin,0,SUB
Jennifer Maia,Manon Fiorot,1,DEC
Matheus Nicolau,David Dvorak,0,DEC
Bruno Souza,Luis Saldana,1,DEC
Tom Aspinall,Alexander Volkov,0,SUB
Dan Hooker,Arnold Allen,1,KO/TKO
Paddy Pimblett,Kazula Vargas,0,SUB
Takashi Sato,Gunnar Nelson,1,DEC
Molly McCann,Luana Carolina,0,KO/TKO
Jai Herbert,Ilia Topuria,1,KO/TKO
Makwan Amirkhani,Mike Grundy,0,SUB
Shamil Abdurakhimov,Sergei Pavlovich,1,KO/TKO
Paul Craig,Nikita Krylov,0,SUB
Timur Valiev,Jack Shore,1,DEC
Elise Reed,Cory McKenna,0,DEC
Cody Durden,Muhammad Mokaev,1,SUB
Magomed Ankalaev,Thiago Santos,0,DEC
Marlon Moraes,Song Yadong,1,KO/TKO
Sodiq Yusuff,Alex Caceres,0,DEC
Karl Roberson,Khalil Rountree Jr.,1,KO/TKO
Drew Dober,Terrance McKinney,0,KO/TKO
Bruno Silva,Alex Pereira,1,DEC
Matthew Semelsberger,AJ Fletcher,0,DEC
Gillian Robertson,JJ Aldrich,1,DEC
Javid Basharat,Trevin Jones,0,DEC
Kamuela Kirk,Damon Jackson,1,SUB
Miranda Maverick,Sabina Mazo,0,SUB
Dalcha Lungiambula,Cody Brundage,1,SUB
Guido Cannetti,Kris Moutinho,0,KO/TKO
Tafon Nchukwi,Azamat Murzakanov,1,KO/TKO
Colby Covington,Jorge Masvidal,0,DEC
Renato Moicano,Rafael Dos Anjos,1,DEC
Bryce Mitchell,Edson Barboza,0,DEC
Alex Oliveira,Kevin Holland,1,KO/TKO
Serghei Spivac,Greg Hardy,0,KO/TKO
Jamie Mullarkey,Jalin Turner,1,KO/TKO
Marina Rodriguez,Yan Xiaonan,0,DEC
Kennedy Nzechukwu,Nicolae Negumereanu,1,DEC
Maryna Moroz,Mariya Agapova,0,SUB
Brian Kelleher,Umar Nurmagomedov,1,SUB
Tim Elliott,Tagir Ulanbekov,0,DEC
Devonte Smith,Ludovit Klein,1,DEC
Dustin Jacoby,Michal Oleksiejczuk,0,DEC
Islam Makhachev,King Green,0,KO/TKO
Misha Cirkunov,Wellington Turman,1,SUB
Priscila Cachoeira,Ji Yeon Kim,0,DEC
Joel Alvarez,Arman Tsarukyan,1,KO/TKO
Armen Petrosyan,Gregory Rodrigues,0,DEC
Rongzhu,Ignacio Bahamondes,1,SUB
Josiane Nunes,Ramona Pascual,0,DEC
Fares Ziam,Terrance McKinney,1,SUB
Jonathan Martinez,Alejandro Perez,0,DEC
Micheal Gillmore,Ramiz Brahimaj,1,SUB
Carlos Hernandez,Victor Altamirano,0,DEC
Jamahal Hill,Johnny Walker,0,KO/TKO
Jamie Pickett,Kyle Daukaus,1,SUB
Parker Porter,Alan Baudot,0,DEC
Nikolas Motta,Jim Miller,1,KO/TKO
Joaquin Buckley,Abdul Razak Alhassan,0,DEC
Gabriel Benitez,David Onama,1,KO/TKO
Stephanie Egger,Jessica-Rose Clark,0,SUB
Mark Striegl,Chas Skelly,1,KO/TKO
Gloria de Paula,Diana Belbita,0,DEC
Jesse Strader,Chad Anheliger,1,KO/TKO
Jonathan Pearce,Christian Rodriguez,0,DEC
Jay Perrin,Mario Bautista,1,DEC
Israel Adesanya,Robert Whittaker,0,DEC
Derrick Lewis,Tai Tuivasa,1,KO/TKO
Jared Cannonier,Derek Brunson,0,KO/TKO
Alexander Hernandez,Renato Moicano,1,SUB
King Green,Nasrat Haqparast,0,DEC
Jared Vanderaa,Andrei Arlovski,1,DEC
Casey O'Neill,Roxanne Modafferi,0,DEC
Marcelo Rojo,Kyler Phillips,1,SUB
Carlos Ulberg,Fabio Cherant,0,DEC
Mana Martinez,Ronnie Lawrence,1,DEC
Jacob Malkoun,AJ Dobson,0,DEC
Sergey Morozov,Douglas Silva de Andrade,1,SUB
Jeremiah Wells,Blood Diamond,0,SUB
William Knight,Maxim Grishin,1,DEC
Sean Strickland,Jack Hermansson,0,DEC
Punahele Soriano,Nick Maximov,1,DEC
Shavkat Rakhmonov,Carlston Harris,0,KO/TKO
Sam Alvey,Brendan Allen,1,SUB
Bryan Battle,Tresean Gore,0,DEC
Steven Peterson,Julian Erosa,1,DEC
John Castaneda,Miles Johns,0,SUB
Michael Trizano,Hakeem Dawodu,1,DEC
Chidi Njokuani,Marc-Andre Barriault,0,KO/TKO
Julija Stoliarenko,Alexis Davis,1,DEC
Jailton Almeida,Danilo Marques,0,KO/TKO
Jason Witt,Phil Rowe,1,KO/TKO
Malcolm Gordon,Denys Bondar,0,KO/TKO
Francis Ngannou,Ciryl Gane,0,DEC
Brandon Moreno,Deiveson Figueiredo,1,DEC
Michel Pereira,Andre Fialho,0,DEC
Cody Stamann,Said Nurmagomedov,1,SUB
Michael Morales,Trevin Giles,0,KO/TKO
Raoni Barcelos,Victor Henry,1,DEC
Jack Della Maddalena,Pete Rodriguez,0,KO/TKO
Saimon Oliveira,Tony Gravely,1,DEC
Matt Frevola,Genaro Valdez,0,KO/TKO
Silvana Gomez Juarez,Vanessa Demopoulos,1,SUB
Jasmine Jasudavicius,Kay Hansen,0,DEC
Calvin Kattar,Giga Chikadze,0,DEC
Chase Sherman,Jake Collier,1,SUB
Brandon Royval,Rogerio Bontorin,0,DEC
Jennifer Maia,Katlyn Cerminara,1,DEC
Viacheslav Borshchev,Dakota Bush,0,KO/TKO
Joanderson Brito,Bill Algeo,1,DEC
Jamie Pickett,Joseph Holmes,0,DEC
Ramiz Brahimaj,Court McGee,1,DEC
Brian Kelleher,Kevin Croom,0,DEC
Charles Rosa,TJ Brown,1,DEC
Derrick Lewis,Chris Daukaus,0,KO/TKO
Stephen Thompson,Belal Muhammad,1,DEC
Amanda Lemos,Angela Hill,0,DEC
Raphael Assuncao,Ricky Simon,1,KO/TKO
Mateusz Gamrot,Diego Ferreira,0,KO/TKO
Darren Elkins,Cub Swanson,1,KO/TKO
Gerald Meerschaert,Dustin Stoltzfus,0,SUB
Harry Hunsucker,Justin Tafa,1,KO/TKO
Melissa Gatto,Sijara Eubanks,0,KO/TKO
Andre Ewell,Charles Jourdain,1,DEC
Raquel Pennington,Macy Chiasson,0,SUB
Josh Parisian,Don'Tale Mayes,1,KO/TKO
Jordan Leavitt,Matt Sayles,0,SUB
Charles Oliveira,Dustin Poirier,0,SUB
Amanda Nunes,Julianna Pena,1,SUB
Geoff Neal,Santiago Ponzinibbio,0,DEC
Cody Garbrandt,Kai Kara-France,1,KO/TKO
Sean O'Malley,Raulian Paiva,0,KO/TKO
Dan Ige,Josh Emmett,1,DEC
Dominick Cruz,Pedro Munhoz,0,DEC
Augusto Sakai,Tai Tuivasa,1,KO/TKO
Bruno Silva,Jordan Wright,0,KO/TKO
Eryk Anders,Andre Muniz,1,SUB
Erin Blanchfield,Miranda Maverick,0,DEC
Darrick Minner,Ryan Hall,1,DEC
Tony Kelley,Randy Costa,0,KO/TKO
Priscila Cachoeira,Gillian Robertson,1,SUB
Jose Aldo,Rob Font,0,DEC
Brad Riddell,Rafael Fiziev,1,KO/TKO
Jamahal Hill,Jimmy Crute,0,KO/TKO
Leonardo Santos,Clay Guida,1,SUB
Chris Curtis,Brendan Allen,0,KO/TKO
Mickey Gall,Alex Morono,1,DEC
Dusko Todorovic,Maki Pitolo,0,KO/TKO
Zhalgas Zhumagulov,Manel Kape,1,KO/TKO
Bryan Barberena,Darian Weeks,0,DEC
Mallory Martin,Cheyanne Vlismas,1,DEC
William Knight,Alonzo Menifield,0,DEC
Chris Gruetzemacher,Claudio Puelles,1,SUB
Vince Morales,Louis Smolka,0,KO/TKO
Ketlen Vieira,Miesha Tate,0,DEC
Michael Chiesa,Sean Brady,1,DEC
Taila Santos,Joanne Wood,0,SUB
Kyung Ho Kang,Rani Yahya,1,DEC
Adrian Yanez,Davey Grant,0,DEC
Tucker Lutz,Pat Sabatini,1,DEC
Rafa Garcia,Natan Levy,0,DEC
Loma Lookboonmee,Loopy Godinez,1,DEC
Cody Durden,Aoriqileng,0,DEC
Sean Soriano,Shayilan Nuerdanbieke,1,DEC
Luana Pinheiro,Sam Hughes,0,DEC
Max Holloway,Yair Rodriguez,0,DEC
Ben Rothwell,Marcos Rogerio de Lima,1,KO/TKO
Felicia Spencer,Leah Letson,0,KO/TKO
Miguel Baeza,Khaos Williams,1,KO/TKO
Song Yadong,Julio Arce,0,KO/TKO
Thiago Moises,Joel Alvarez,1,KO/TKO
Andrea Lee,Cynthia Calvillo,0,KO/TKO
Collin Anglin,Sean Woodson,1,KO/TKO
Cortney Casey,Liana Jojua,0,DEC
Marc Diakiese,Rafael Alves,1,SUB
Da Woon Jung,Kennedy Nzechukwu,0,KO/TKO
Kamaru Usman,Colby Covington,0,DEC
Zhang Weili,Rose Namajunas,1,DEC
Marlon Vera,Frankie Edgar,0,KO/TKO
Billy Quarantillo,Shane Burgos,1,DEC
Justin Gaethje,Michael Chandler,0,DEC
Andreas Michailidis,Alex Pereira,1,KO/TKO
King Green,Al Iaquinta,0,KO/TKO
Phil Hawes,Chris Curtis,1,KO/TKO
Nassourdine Imavov,Edmen Shahbazyan,0,KO/TKO
Jordan Williams,Ian Machado Garry,1,KO/TKO
Chris Barnett,Gian Villante,0,KO/TKO
John Allan,Dustin Jacoby,1,DEC
Melsik Baghdasaryan,Bruno Souza,0,DEC
CJ Vergara,Ode Osbourne,1,DEC
Glover Teixeira,Jan Blachowicz,0,SUB
Cory Sandhagen,Petr Yan,1,DEC
Islam Makhachev,Dan Hooker,0,SUB
Marcin Tybura,Alexander Volkov,1,DEC
Khamzat Chimaev,Li Jingliang,0,SUB
Volkan Oezdemir,Magomed Ankalaev,1,DEC
Amanda Ribas,Virna Jandiroba,0,DEC
Ricardo Ramos,Zubaira Tukhugov,1,DEC
Albert Duraev,Roman Kopylov,0,DEC
Benoit Saint Denis,Elizeu Zaleski dos Santos,1,DEC
Michal Oleksiejczuk,Shamil Gamzatov,0,KO/TKO
Makwan Amirkhani,Lerone Murphy,1,KO/TKO
Andre Petroski,Hu Yaozong,0,SUB
Allan Nascimento,Tagir Ulanbekov,1,DEC
Marvin Vettori,Paulo Costa,0,DEC
Ricky Glenn,Grant Dawson,1,M-DEC
Jessica-Rose Clark,Joselyne Edwards,0,DEC
SeungWoo Choi,Alex Caceres,1,SUB
Francisco Trinaldo,Dwight Grant,0,DEC
Ike Villanueva,Nicolae Negumereanu,1,KO/TKO
Gregory Rodrigues,JunYong Park,0,KO/TKO
David Onama,Mason Jones,1,DEC
Tabatha Ricci,Maria Oliveira,0,DEC
Laureano Staropoli,Jamie Pickett,1,DEC
Jai Herbert,Khama Worthy,0,KO/TKO
Daniel Lacerda,Jeff Molina,1,KO/TKO
Randa Markos,Livinha Souza,0,DEC
Zviad Lazishvili,Jonathan Martinez,1,DEC
Norma Dumont,Aspen Ladd,0,DEC
Carlos Felipe,Andrei Arlovski,1,DEC
Jim Miller,Erick Gonzalez,0,KO/TKO
Mayra Bueno Silva,Manon Fiorot,1,DEC
Nate Landwehr,Ludovit Klein,0,SUB
Andrew Sanchez,Bruno Silva,1,KO/TKO
Danny Roberts,Ramazan Emeev,0,DEC
Loopy Godinez,Luana Carolina,1,DEC
Batgerel Danaa,Brandon Davis,0,KO/TKO
Istela Nunes,Ariane Carnelossi,1,SUB
Marina Rodriguez,Mackenzie Dern,0,DEC
Jared Gooden,Randy Brown,1,DEC
Matheus Nicolau,Tim Elliott,0,DEC
Sabina Mazo,Mariya Agapova,1,SUB
Chris Gutierrez,Felipe Colares,0,DEC
Jared Vanderaa,Alexandr Romanov,1,KO/TKO
Damon Jackson,Charles Rosa,0,DEC
Silvana Gomez Juarez,Loopy Godinez,1,SUB
Steve Garcia,Charlie Ontiveros,0,KO/TKO
Thiago Santos,Johnny Walker,0,DEC
Kyle Daukaus,Kevin Holland,1,Overturned
Niko Price,Alex Oliveira,0,DEC
Misha Cirkunov,Krzysztof Jotko,1,DEC
Alexander Hernandez,Mike Breeden,0,KO/TKO
Joe Solecki,Jared Gordon,1,DEC
Casey O'Neill,Antonina Shevchenko,0,KO/TKO
Bethe Correia,Karol Rosa,1,DEC
Jamie Mullarkey,Devonte Smith,0,KO/TKO
Gaetano Pirrello,Douglas Silva de Andrade,1,KO/TKO
Stephanie Egger,Shanna Young,0,KO/TKO
Johnny Eduardo,Alejandro Perez,1,SUB
Alexander Volkanovski,Brian Ortega,0,DEC
Lauren Murphy,Valentina Shevchenko,1,KO/TKO
Robbie Lawler,Nick Diaz,0,KO/TKO
Jairzinho Rozenstruik,Curtis Blaydes,1,DEC
Jessica Andrade,Cynthia Calvillo,0,KO/TKO
Marlon Moraes,Merab Dvalishvili,1,KO/TKO
Dan Hooker,Nasrat Haqparast,0,DEC
Shamil Abdurakhimov,Chris Daukaus,1,KO/TKO
Taila Santos,Roxanne Modafferi,0,DEC
Uros Medic,Jalin Turner,1,SUB
Nick Maximov,Cody Brundage,0,DEC
Martin Sano,Matthew Semelsberger,1,KO/TKO
Jonathan Pearce,Omar Morales,0,SUB
Anthony Smith,Ryan Spann,0,SUB
Devin Clark,Ion Cutelaba,1,DEC
Ariane da Silva,Mandy Bohm,0,DEC
Christos Giagos,Arman Tsarukyan,1,KO/TKO
Nate Maness,Tony Gravely,0,KO/TKO
Antonio Arroyo,Joaquin Buckley,1,KO/TKO
Tafon Nchukwi,Mike Rodriguez,0,DEC
Pannie Kianzad,Raquel Pennington,1,DEC
Rongzhu,Brandon Jenkins,0,KO/TKO
JP Buys,Montel Jackson,1,DEC
Erin Blanchfield,Sarah Alpar,0,DEC
Impa Kasanganay,Carlston Harris,1,KO/TKO
Gustavo Lopez,Alatengheili,0,DEC
Emily Whitmire,Hannah Goldy,1,SUB
Derek Brunson,Darren Till,0,SUB
Serghei Spivac,Tom Aspinall,1,KO/TKO
Alex Morono,David Zawada,0,DEC
Modestas Bukauskas,Khalil Rountree Jr.,1,KO/TKO
Paddy Pimblett,Luigi Vendramini,0,KO/TKO
Ji Yeon Kim,Molly McCann,1,DEC
Jack Shore,Liudvik Sholinian,0,DEC
Charles Jourdain,Julian Erosa,1,SUB
Marc-Andre Barriault,Dalcha Lungiambula,0,DEC
Giga Chikadze,Edson Barboza,0,KO/TKO
Gilbert Urbina,Bryan Battle,1,SUB
Ricky Turcios,Brady Hiestand,0,DEC
Kevin Lee,Daniel Rodriguez,1,DEC
Andre Petroski,Micheal Gillmore,0,KO/TKO
Makhmud Muradov,Gerald Meerschaert,1,SUB
Abdul Razak Alhassan,Alessio Di Chirico,0,KO/TKO
Sam Alvey,Wellington Turman,1,DEC
Dustin Jacoby,Darren Stewart,0,KO/TKO
Vanessa Demopoulos,JJ Aldrich,1,DEC
Pat Sabatini,Jamall Emmers,0,SUB
Guido Cannetti,Mana Martinez,1,DEC
Jared Cannonier,Kelvin Gastelum,0,DEC
Clay Guida,Mark Madsen,1,DEC
Parker Porter,Chase Sherman,0,DEC
Trevin Jones,Saidyokub Kakhramonov,1,SUB
Vinc Pichel,Austin Hubbard,0,DEC
Brandon Royval,Alexandre Pantoja,1,SUB
Austin Lingo,Luis Saldana,0,DEC
Domingo Pilarte,Brian Kelleher,1,DEC
Josiane Nunes,Bea Malecki,0,KO/TKO
Fabio Cherant,William Knight,1,KO/TKO
Ignacio Bahamondes,Roosevelt Roberts,0,KO/TKO
Sasha Palatnikov,Ramiz Brahimaj,1,SUB
Ciryl Gane,Derrick Lewis,0,KO/TKO
Pedro Munhoz,Jose Aldo,1,DEC
Vicente Luque,Michael Chiesa,0,SUB
Angela Hill,Tecia Pennington,1,DEC
Song Yadong,Casey Kenney,0,DEC
King Green,Rafael Fiziev,1,DEC
Vince Morales,Drako Rodriguez,0,DEC
Ed Herman,Alonzo Menifield,1,DEC
Jessica Penne,Karolina Kowalkiewicz,0,SUB
Ode Osbourne,Manel Kape,1,KO/TKO
Miles Johns,Anderson Dos Santos,0,KO/TKO
Victoria Leonardo,Melissa Gatto,1,KO/TKO
Johnny Munoz,Jamey Simmons,0,SUB
Sean Strickland,Uriah Hall,0,DEC
Gloria de Paula,Cheyanne Vlismas,1,KO/TKO
Jared Gooden,Niklas Stolze,0,KO/TKO
Collin Anglin,Melsik Baghdasaryan,1,KO/TKO
Jason Witt,Bryan Barberena,0,M-DEC
Rafa Garcia,Chris Gruetzemacher,1,DEC
Danny Chavez,Kai Kamaka,0,M-DEC
Ashley Yoder,Jinh Yu Frey,1,DEC
Zarrukh Adashev,Ryan Benoit,0,DEC
Orion Cosce,Phil Rowe,1,KO/TKO
TJ Dillashaw,Cory Sandhagen,0,DEC
Kyler Phillips,Raulian Paiva,1,M-DEC
Darren Elkins,Darrick Minner,0,KO/TKO
Miranda Maverick,Maycee Barber,1,DEC
Adrian Yanez,Randy Costa,0,KO/TKO
Punahele Soriano,Brendan Allen,1,DEC
Nassourdine Imavov,Ian Heinisch,0,KO/TKO
Jordan Williams,Mickey Gall,1,SUB
Julio Arce,Andre Ewell,0,KO/TKO
Elise Reed,Sijara Eubanks,1,KO/TKO
Diana Belbita,Hannah Goldy,0,DEC
Islam Makhachev,Thiago Moises,0,SUB
Marion Reneau,Miesha Tate,1,KO/TKO
Mateusz Gamrot,Jeremy Stephens,0,SUB
Dustin Stoltzfus,Rodolfo Vieira,1,SUB
Billy Quarantillo,Gabriel Benitez,0,KO/TKO
Preston Parsons,Daniel Rodriguez,1,KO/TKO
Amanda Lemos,Montserrat Conejo Ruiz,0,KO/TKO
Khalid Taha,Sergey Morozov,1,DEC
Malcolm Gordon,Francisco Figueiredo,0,DEC
Rodrigo Nascimento,Alan Baudot,1,Overturned
Dustin Poirier,Conor McGregor,0,KO/TKO
Stephen Thompson,Gilbert Burns,1,DEC
Tai Tuivasa,Greg Hardy,0,KO/TKO
Yana Santos,Irene Aldana,1,KO/TKO
Sean O'Malley,Kris Moutinho,0,KO/TKO
Carlos Condit,Max Griffin,1,DEC
Michel Pereira,Niko Price,0,DEC
Ryan Hall,Ilia Topuria,1,KO/TKO
Dricus Du Plessis,Trevin Giles,0,KO/TKO
Jessica Eye,Jennifer Maia,1,DEC
Brad Tavares,Omari Akhmedov,0,DEC
Jerome Rivera,Zhalgas Zhumagulov,1,SUB
Ciryl Gane,Alexander Volkov,0,DEC
Ovince Saint Preux,Tanner Boser,1,KO/TKO
Timur Valiev,Raoni Barcelos,0,M-DEC
Daniel Pineda,Andre Fili,1,CNC
Tim Means,Nicolas Dalby,0,DEC
Jai Herbert,Renato Moicano,1,SUB
Kennedy Nzechukwu,Danilo Marques,0,KO/TKO
Michel Prazeres,Shavkat Rakhmonov,1,SUB
Jeremiah Wells,Warlley Alves,0,KO/TKO
Ike Villanueva,Marcin Prachnio,1,KO/TKO
Julia Avila,Julija Stoliarenko,0,SUB
Justin Jaynes,Charles Rosa,1,DEC
Damir Hadzovic,Yancy Medeiros,0,DEC
Chan Sung Jung,Dan Ige,0,DEC
Aleksei Oleinik,Serghei Spivac,1,DEC
Marlon Vera,Davey Grant,0,DEC
Julian Erosa,SeungWoo Choi,1,KO/TKO
Bruno Silva,Wellington Turman,0,KO/TKO
Dhiego Lima,Matt Brown,1,KO/TKO
Nicolae Negumereanu,Aleksa Camur,0,DEC
Kanako Murata,Virna Jandiroba,1,KO/TKO
Khaos Williams,Matthew Semelsberger,0,DEC
Roque Martinez,Josh Parisian,1,DEC
Ricky Glenn,Joaquim Silva,0,KO/TKO
Lara Procopio,Casey O'Neill,1,SUB
Israel Adesanya,Marvin Vettori,0,DEC
Deiveson Figueiredo,Brandon Moreno,1,SUB
Leon Edwards,Nate Diaz,0,DEC
Demian Maia,Belal Muhammad,1,DEC
Paul Craig,Jamahal Hill,0,KO/TKO
Drew Dober,Brad Riddell,1,DEC
Eryk Anders,Darren Stewart,0,DEC
Joanne Wood,Lauren Murphy,1,DEC
Movsar Evloev,Hakeem Dawodu,0,DEC
Alexis Davis,Pannie Kianzad,1,DEC
Terrance McKinney,Matt Frevola,0,KO/TKO
Chase Hooper,Steven Peterson,1,DEC
Fares Ziam,Luigi Vendramini,0,M-DEC
Jake Collier,Carlos Felipe,1,DEC
Jairzinho Rozenstruik,Augusto Sakai,0,KO/TKO
Walt Harris,Marcin Tybura,1,KO/TKO
Roman Dolidze,Laureano Staropoli,0,DEC
Miguel Baeza,Santiago Ponzinibbio,1,DEC
Gregory Rodrigues,Dusko Todorovic,0,DEC
Ariane da Silva,Montana De La Rosa,1,KO/TKO
Ilir Latifi,Tanner Boser,0,DEC
Francisco Trinaldo,Muslim Salikhov,1,DEC
Kamuela Kirk,Makwan Amirkhani,0,DEC
Mason Jones,Alan Patrick,1,CNC
Manon Fiorot,Tabatha Ricci,0,KO/TKO
Youssef Zalal,Sean Woodson,1,DEC
